,Project_ID_Number,Project_ID,Master Stats Category Group,Master Stats Category,Program Name,Project Title,Nom du projet,Project Participant Type,Project Type,Project Start Date,Project End Date,Project Instruction Days,Ship,"Pre, Ship, or Post",Country,City,Project Venue,Project Comments,Finance: Location Code,Finance: Program Code,Finance: Purpose Code,powerappID,duplicate
32,274,Leadership Development Training | Participants | 01Nov22-30Nov22 | Off-ship | Liberia | Monrovia | Redemption Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Redemption Hospital,Formation au développement du leadership,Participants,Course,11/1/2022,11/30/2022,NA,Off-ship,NA,Liberia,Monrovia,Redemption Hospital,Leadership Development Training Oct Nov Dec 2022 Registers.xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Nov-2022 - 30-Nov-2022,1
33,352,Leadership Development Training | Participants | 01Nov22-30Nov22 | Off-ship | Liberia | Gbarpolu | Emirates Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - Emirates Hospital,Formation au développement du leadership,Participants,Course,11/1/2022,11/30/2022,NA,Off-ship,NA,Liberia,Gbarpolu,Emirates Hospital,Leadership Development Training Oct Nov Dec 2022 Registers (1).xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Nov-2022 - 30-Nov-2022,1
34,353,Leadership Development Training | Participants | 01Nov22-30Nov22 | Off-ship | Liberia | Tappita | JFD Referral Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training - JFD Referral Hospital,Formation au développement du leadership,Participants,Course,11/1/2022,11/30/2022,NA,Off-ship,NA,Liberia,Tappita,JFD Referral Hospital,Leadership Development Training Oct Nov Dec 2022 Registers (1).xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Nov-2022 - 30-Nov-2022,1
35,354,Leadership Development Training | Participants | 01Nov22-30Nov22 | Off-ship | Liberia | Monrovia | Redemption Hospital,Educational and Spiritual Assistance,Professional/Vocational Training,Leadership Development,Leadership Development Training-1,Formation au développement du leadership,Participants,Course,11/1/2022,11/30/2022,NA,Off-ship,NA,Liberia,Monrovia,Redemption Hospital,Leadership Development Training Oct Nov Dec 2022 Registers (1).xlsx,NA,NA,NA,Leadership Development Training | Liberia | 01-Nov-2022 - 30-Nov-2022,1
36,93,Maxillofacial PUMP Mentoring | Surgeons | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Maxillofacial PUMP Mentoring - Surgeons,Programme de mentorat (PUMP) en chirurgie maxillo-faciale,Surgeons,Mentoring,9/1/2019,3/29/2020,10,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,MFPSN19,NA,Maxillofacial PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
37,94,Maxillofacial PUMP Mentoring | Anesthesia Providers | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Maxillofacial PUMP Mentoring - Anesthesia Providers,Programme de mentorat (PUMP) en chirurgie maxillo-faciale,Anesthesia Providers,Mentoring,9/1/2019,3/29/2020,10,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,MFPSN19,NA,Maxillofacial PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
38,95,Maxillofacial PUMP Mentoring | Nurses | 01Sep19-29Mar20 | Africa Mercy | Senegal | Dakar | Africa Mercy,Educational and Spiritual Assistance,Medical Courses,MCB Mentoring,Maxillofacial PUMP Mentoring - Nurses,Programme de mentorat (PUMP) en chirurgie maxillo-faciale,Nurses,Mentoring,9/1/2019,3/29/2020,20,Africa Mercy,Ship,Senegal,Dakar,Africa Mercy,NA,3,MFPSN19,NA,Maxillofacial PUMP Mentoring | Senegal | 01-Sep-2019 - 29-Mar-2020,1
39,297,Mental Health Course | Participants | 21Mar22-25Mar22 | Off-ship | Liberia | Voinjama | NASSCORP Guesthouse,Educational and Spiritual Assistance,Professional/Vocational Training,Mental Health,Mental Health Course - NASSCORD Guesthouse,Cours de santé mentale,Participants,Course,3/21/2022,3/25/2022,NA,Off-ship,NA,Liberia,Voinjama,NASSCORP Guesthouse,Mental Health Liberia Stats_2022-March & April.xlsx,NA,NA,NA,Mental Health Course | Liberia | 21-Mar-2022 - 25-Mar-2022,1
40,298,Mental Health Course | Participants | 21Mar22-25Mar22 | Off-ship | Liberia | Voinjama | CoNASSCORP Guesthouserina Hotel,Educational and Spiritual Assistance,Professional/Vocational Training,Mental Health,Mental Health Course - CoNASSCORP Guesthouserina Hotel,Cours de santé mentale,Participants,Course,3/21/2022,3/25/2022,NA,Off-ship,NA,Liberia,Voinjama,CoNASSCORP Guesthouserina Hotel,Mental Health Liberia Stats_2022-March & April.xlsx,NA,NA,NA,Mental Health Course | Liberia | 21-Mar-2022 - 25-Mar-2022,1
41,267,MSSI Nurse Training | Participants | 26Sep22-30Sep22 | Off-ship | Liberia | Monrovia | Corina Hotel,Educational and Spiritual Assistance,Medical Courses,MSSI Nurse Training,MSSI Nurse Training,MSSI cours de soins infirmiers,Participants,Course,9/26/2022,9/30/2022,NA,Off-ship,NA,Liberia,Monrovia,Corina Hotel,22LI MSSI Nurse Training - Statistics.xlsx,NA,NA,NA,MSSI Nurse Training | Liberia | 26-Sep-2022 - 30-Sep-2022,1
